Year,,"Pərakəndə ticarət dövriyyəsinin fiziki həcm indeksləri, faizlə (əvvəlki ilə nisbətən) (faiz)","Əmtəə dövriyyəsinin həcmində ərzaq məhsulları, içkilər və tütün məmulatlarının xüsusi çəkisi, faizlə (faiz)","Əmtəə dövriyyəsinin həcmində qeyri-ərzaq mallarının xüsusi çəkisi, faizlə (faiz)","Ərzaq məhsulları, içkilər və tütün məmulatlarının əvvəlki ilə nisbətən fiziki həcm indeksləri, faizlə (faiz)","Qeyri-ərzaq mallarının əvvəlki ilə nisbətən fiziki həcm indeksləri, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin ümumi həcmində dövlət mülkiyyəti, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin ümumi həcmində qeyri-dövlət mülkiyyəti, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin dövlət mülkiyyəti üzrə fiziki həcm indeksləri, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin qeyri-dövlət mülkiyyəti üzrə fiziki həcm indeksləri, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin ümumi həcmində müəssisələr, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin ümumi həcmində fərdi sahibkarlar, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin müəssisələr üzrə fiziki həcm indeksləri, faizlə (faiz)","Pərakəndə ticarət dövriyyəsinin fərdi sahibkarlar üzrə fiziki həcm indeksləri, faizlə (faiz)"
2024,,103.9,54.9,45.1,102.1,106.3,0.3,99.7,102.4,103.9,27.1,72.9,108.6,102.3
2023,,103.7,56.0,44.0,102.5,105.2,0.3,99.7,84.4,103.7,25.9,74.1,103.1,103.8
2022,,103.1,56.3,43.7,102.3,104.0,0.3,99.7,115.4,103.0,26.1,73.9,102.2,103.4
2021,,103.2,54.3,45.7,102.5,103.9,0.3,99.7,126.5,103.1,26.3,73.7,119.6,98.3
2020,,98.7,54.0,46.0,103.4,93.9,0.2,99.8,219.6,98.6,22.7,77.3,106.6,96.6
2019,,103.6,50.7,49.3,103.2,104.0,0.1,99.9,237.0,103.6,21.0,79.0,129.5,98.4
2018,,103.0,50.3,49.7,102.5,103.4,0.1,99.9,110.8,102.9,16.8,83.2,133.0,98.5
2017,,102.5,50.7,49.3,101.9,103.1,0.1,99.9,29.6,102.6,13.0,87.0,116.6,100.7
2016,,101.5,49.9,50.1,102.1,100.8,0.2,99.8,105.2,101.5,11.4,88.6,105.7,100.9
2015,,110.9,50.0,50.0,110.1,112.8,0.2,99.8,103.7,110.9,11.0,89.0,103.8,111.9
2014,,110.0,50.1,49.9,103.9,116.2,0.2,99.8,93.1,110.0,11.7,88.3,108.0,110.2
2013,,109.9,53.4,46.6,102.7,120.2,0.2,99.8,55.3,110.1,11.9,88.1,102.9,110.9
2012,,109.6,57.0,43.0,102.5,120.8,0.4,99.6,70.3,109.8,12.7,87.3,103.3,110.6
2011,,110.2,61.0,39.0,102.3,128.7,0.6,99.4,92.2,110.3,13.5,86.5,109.4,110.3
2010,,108.8,64.7,35.3,107.0,114.1,0.7,99.3,103.5,108.8,13.6,86.4,103.4,109.6
2009,,108.7,65.1,34.9,110.4,104.7,0.7,99.3,111.7,108.7,14.3,85.7,105.6,109.2
2008,,115.5,65.0,35.0,109.6,130.7,0.7,99.3,107.5,115.6,14.7,85.3,113.8,115.9
2007,,114.9,65.7,34.3,111.9,121.1,0.8,99.2,105.2,115.0,15.0,85.0,105.9,116.6
2006,,113.2,66.4,33.6,109.3,122.0,0.8,99.2,96.6,113.4,16.2,83.8,100.5,116.1
2005,,113.0,67.5,32.5,110.1,120.6,1.0,99.0,99.3,113.1,18.3,81.7,102.3,115.7
2004,,112.6,68.3,31.7,109.0,123.0,1.1,98.9,105.9,112.7,20.2,79.8,103.9,115.1
2003,,110.7,69.2,30.8,108.8,115.5,1.2,98.8,102.5,110.8,21.9,78.1,101.1,113.7
2002,,109.5,70.0,30.0,108.0,113.2,1.3,98.7,101.4,109.6,24.0,76.0,100.9,112.5
2001,,109.9,70.7,29.3,107.8,115.2,1.4,98.6,101.7,110.0,26.0,74.0,102.9,112.6
2000,,109.8,71.5,28.5,109.2,111.4,1.5,98.5,91.8,110.1,27.8,72.2,102.4,112.9
1999,,113.2,71.9,28.1,114.9,104.7,1.8,98.2,70.8,114.5,29.8,70.2,102.9,118.3
1998,,110.1,71.8,28.2,109.5,111.7,2.9,97.1,82.4,111.2,32.8,67.2,98.4,116.9
1997,,115.1,72.3,27.7,117.3,107.6,3.8,96.2,77.7,117.4,36.7,63.3,117.1,114.1
1996,,114.3,71.7,28.3,109.6,129.6,5.7,94.3,75.0,118.0,36.1,63.9,121.1,110.8
1995,,102.6,76.3,23.7,100.0,108.1,8.7,91.3,52.9,112.6,34.1,65.9,113.8,97.6
