Year,,"Ticarət, nəqliyyat vasitələrinin təmiri və onlara texniki xidmət müəssisələrinin sayı, vahid (ədəd)","Əşya, ərzaq və qarışıq məhsullar üzrə bazar və yarmarkaların sayı, vahid (ədəd)","Bazarlarda və yarmarkalarda ticarət yerlərinin sayı, vahid (ədəd)","Hüquqi şəxs yaratmadan ticarətlə məşğul olan fərdi sahibkarların sayı, vahid (nəfər)","Mağazaların sayı, vahid (ədəd)","Mağazaların ticarət sahəsı, min kv.metr (min kv. metr)","Köşklərin sayı, vahid (ədəd)"
2024,,68044.0,124.0,46850.0,262598.0,139448.0,10125.1,3353.0
2023,,62149.0,124.0,41604.0,255321.0,130715.0,9331.6,3314.0
2022,,55319.0,123.0,41165.0,245868.0,100618.0,6474.8,2796.0
2021,,48844.0,123.0,41609.0,242206.0,90109.0,5915.0,2969.0
2020,,43988.0,125.0,37723.0,228742.0,82564.0,5307.0,2938.0
2019,,40765.0,125.0,38193.0,221484.0,82141.0,5217.4,3099.0
2018,,34421.0,126.0,38064.0,205090.0,72243.0,4525.8,3302.0
2017,,31124.0,129.0,38098.0,201121.0,66155.0,3927.5,4028.0
2016,,27873.0,122.0,36096.0,199255.0,61102.0,3385.4,3940.0
2015,,25937.0,123.0,36375.0,201151.0,61015.0,3299.2,4145.0
2014,,24890.0,124.0,36887.0,191610.0,61742.0,3365.0,5898.0
2013,,23240.0,126.0,37661.0,176327.0,60114.0,3207.0,5847.0
2012,,21548.0,128.0,38756.0,171646.0,59657.0,2959.0,5774.0
2011,,20370.0,128.0,38377.0,150686.0,57816.0,2808.0,5510.0
2010,,30785.0,122.0,37451.0,127501.0,55960.0,2647.0,5603.0
2009,,29810.0,127.0,41593.0,115519.0,51308.0,2442.0,5810.0
2008,,27817.0,133.0,43885.0,119183.0,48595.0,2421.0,5745.0
2007,,27505.0,149.0,59850.0,117514.0,48173.0,2394.0,5690.0
2006,,30817.0,161.0,64310.0,119219.0,48056.0,2370.0,3925.0
2005,,28752.0,176.0,67260.0,120219.0,47300.0,2177.0,2430.0
2004,,26445.0,185.0,67090.0,111329.0,42600.0,1913.0,2160.0
2003,,24120.0,185.0,66636.0,99159.0,37925.0,1898.0,2005.0
2002,,23431.0,190.0,57270.0,84107.0,37310.0,1812.0,2698.0
2001,,22390.0,194.0,53500.0,73332.0,35872.0,1242.0,3965.0
2000,,20763.0,201.0,43406.0,61942.0,23710.0,1218.0,3764.0
1999,,18665.0,205.0,36041.0,60585.0,22960.0,955.0,3003.0
1998,,15909.0,175.0,30818.0,0.0,18698.0,800.0,2864.0
1997,,14563.0,167.0,27320.0,0.0,15385.0,734.0,3115.0
1996,,13700.0,161.0,25438.0,0.0,10060.0,629.0,3600.0
1995,,16900.0,159.0,24122.0,0.0,11495.0,755.0,5400.0
